Country/Territory,Year,Population
Uganda,2009,31509625
Uganda,2010,32341728
Uganda,2011,33368854
Uganda,2012,34395979
Uganda,2013,35423105
Uganda,2014,36450230
Uganda,2015,37477356
Uganda,2016,37477356
Uganda,2017,37477356
Uganda,2018,37477356
Uganda,2019,37477356
United Kingdom,1990,57210442
United Kingdom,1991,57374402
United Kingdom,1992,57538362
United Kingdom,1993,57702322
United Kingdom,1994,57866282
United Kingdom,1995,58030242
United Kingdom,1996,58194203
United Kingdom,1997,58358163
United Kingdom,1998,58522123
United Kingdom,1999,58686083
United Kingdom,2000,58850043
United Kingdom,2001,59241043
United Kingdom,2002,59632042
United Kingdom,2003,60023042
United Kingdom,2004,60414041
United Kingdom,2005,60805041
United Kingdom,2006,61196041
United Kingdom,2007,61587040
United Kingdom,2008,61978040
United Kingdom,2009,62369039
United Kingdom,2010,62760039
United Kingdom,2011,63252904
United Kingdom,2012,63745769
United Kingdom,2013,64238634
United Kingdom,2014,64731499
United Kingdom,2015,65224364
United Kingdom,2016,65224364
United Kingdom,2017,65224364
United Kingdom,2018,65224364
United Kingdom,2019,65224364
United States,1990,248083732
United States,1991,251515214
United States,1992,254946696
United States,1993,258378179
United States,1994,261809661
United States,1995,265241143
United States,1996,268672625
United States,1997,272104107
United States,1998,275535590
United States,1999,278967072
United States,2000,282398554
United States,2001,285276983
United States,2002,288155412
United States,2003,291033841
United States,2004,293912270
United States,2005,296790700
United States,2006,299669129
United States,2007,302547558
United States,2008,305425987
United States,2009,308304416
United States,2010,311182845
United States,2011,313867831
United States,2012,316552817
United States,2013,319237804
United States,2014,321922790
United States,2015,324607776
United States,2016,324607776
United States,2017,324607776
United States,2018,324607776
United States,2019,324607776
Vanuatu,1990,150882
Vanuatu,1991,155001
Vanuatu,1992,159120
Vanuatu,1993,163240
Vanuatu,1994,167359
Vanuatu,1995,171478
Vanuatu,1996,175597
Vanuatu,1997,179716
Vanuatu,1998,183836
Vanuatu,1999,187955
Vanuatu,2000,192074
Vanuatu,2001,197412
Vanuatu,2002,202750
Vanuatu,2003,208088
Vanuatu,2004,213426
Vanuatu,2005,218764
Vanuatu,2006,224101
Vanuatu,2007,229439
Vanuatu,2008,234777
Vanuatu,2009,240115
Vanuatu,2010,245453
Vanuatu,2011,251650
Vanuatu,2012,257847
Vanuatu,2013,264044
Vanuatu,2014,270241
Vanuatu,2015,276438
Vanuatu,2016,276438
Vanuatu,2017,276438
Vanuatu,2018,276438
Vanuatu,2019,276438
Venezuela,1990,19750579
Venezuela,1991,20218294
Venezuela,1992,20686009
Venezuela,1993,21153724
Venezuela,1994,21621439
Venezuela,1995,22089154
Venezuela,1996,22556869
Venezuela,1997,23024584
Venezuela,1998,23492299
Venezuela,1999,23960014
Venezuela,2000,24427729
Venezuela,2001,24856458
Venezuela,2002,25285188
Venezuela,2003,25713917
Venezuela,2004,26142646
Venezuela,2005,26571376
Venezuela,2006,27000105
Venezuela,2007,27428834
Venezuela,2008,27857563
Venezuela,2009,28286293
Venezuela,2010,28715022
Venezuela,2011,29077961
Venezuela,2012,29440900
Venezuela,2013,29803838
Venezuela,2014,30166777
Venezuela,2015,30529716
Venezuela,2016,30529716
Venezuela,2017,30529716
Venezuela,2018,30529716
Venezuela,2019,30529716
