Country/Territory,Code,Year,Meningitis,Alzheimer's Disease and Other Dementias,Parkinson's Disease,Nutritional Deficiencies,Malaria,Drowning,Interpersonal Violence,Maternal Disorders,HIV/AIDS,Drug Use Disorders,Tuberculosis,Cardiovascular Diseases,Lower Respiratory Infections,Neonatal Disorders,Alcohol Use Disorders,Self-harm,Exposure to Forces of Nature,Diarrheal Diseases,Environmental Heat and Cold Exposure,Neoplasms,Conflict and Terrorism,Diabetes Mellitus,Chronic Kidney Disease,Poisonings,Protein-Energy Malnutrition,Road Injuries,Chronic Respiratory Diseases,Cirrhosis and Other Chronic Liver Diseases,Digestive Diseases,"Fire, Heat, and Hot Substances",Acute Hepatitis,Population,Temperature_C,Precipitation_mm,Surface_Pressure_Pa,Dewpoint_K,Wind_Speed_ms,Meningitis_Rate_per_100k,Alzheimer's Disease and Other Dementias_Rate_per_100k,Parkinson's Disease_Rate_per_100k,Nutritional Deficiencies_Rate_per_100k,Malaria_Rate_per_100k,Drowning_Rate_per_100k,Interpersonal Violence_Rate_per_100k,Maternal Disorders_Rate_per_100k,HIV/AIDS_Rate_per_100k,Drug Use Disorders_Rate_per_100k,Tuberculosis_Rate_per_100k,Cardiovascular Diseases_Rate_per_100k,Lower Respiratory Infections_Rate_per_100k,Neonatal Disorders_Rate_per_100k,Alcohol Use Disorders_Rate_per_100k,Self-harm_Rate_per_100k,Exposure to Forces of Nature_Rate_per_100k,Diarrheal Diseases_Rate_per_100k,Environmental Heat and Cold Exposure_Rate_per_100k,Neoplasms_Rate_per_100k,Conflict and Terrorism_Rate_per_100k,Diabetes Mellitus_Rate_per_100k,Chronic Kidney Disease_Rate_per_100k,Poisonings_Rate_per_100k,Protein-Energy Malnutrition_Rate_per_100k,Road Injuries_Rate_per_100k,Chronic Respiratory Diseases_Rate_per_100k,Cirrhosis and Other Chronic Liver Diseases_Rate_per_100k,Digestive Diseases_Rate_per_100k,"Fire, Heat, and Hot Substances_Rate_per_100k",Acute Hepatitis_Rate_per_100k
Algeria,DZA,1990,838,1337,439,453,9,1207,491,1634,44,171,939,53488,8125,17931,75,1405,0,2908,35,10571,4,1743,3559,485,422,13438,4410,2401,3981,1113,486,25518074,24.84967,0.6799698,95017.164,275.07843,3.000378,3.2839468997542682,5.23942363361749,1.720349270873656,1.7752123455712214,0.03526911944843487,4.729980797140097,1.924126405464613,6.4033045754158415,0.1724268061923482,0.6701132695202624,3.679744795786704,209.6082956730982,31.84017727983703,70.26784231443172,0.2939093287369572,5.505901425005665,0.0,11.395844372894286,0.13715768674391335,41.42554018771166,0.01567516419930438,6.830452799846886,13.946977346331076,1.9006136591656566,1.6537298230266124,52.660714127563075,17.28186852973308,9.409017310632457,15.600707169357689,4.361614438456445,1.9045324502154828
Algeria,DZA,1991,794,1411,451,439,9,1136,484,1541,50,179,884,54722,7701,17421,76,1388,0,2598,34,10917,76,1787,3640,469,408,13120,4481,2456,4033,1078,478,26043729,23.475891,0.6227493,94956.99,273.58542,2.6504846,3.0487185610017677,5.417810944047222,1.731702860216369,1.6856265091684837,0.03455726328591424,4.361894565866509,1.8584128255980548,5.916971413732649,0.1919847960328569,0.6873055697976277,3.39429119386091,210.1158401701999,29.56949828498062,66.89134263376799,0.29181688996994243,5.329497937872108,0.0,9.975530001867245,0.1305496613023427,41.917960365813975,0.29181688996994243,6.861536610214306,13.976493151191983,1.8008173867881976,1.5665959356281123,50.37681047902165,17.205677420464635,9.43029318113393,15.485493648010237,4.1391922024683945,1.8353746500741117
Algeria,DZA,1992,763,1494,470,427,12,1111,497,1482,57,192,853,56107,7409,16918,78,1406,21,2363,34,11145,510,1813,3687,464,396,13115,4571,2500,4083,1071,472,26569383,23.335693,0.5674362,95011.01,273.7668,2.4971378,2.8717264529627955,5.623013526509065,1.768953385180228,1.607112969089271,0.04516476728119731,4.1815047041175175,1.8705741115629217,5.577848759227868,0.21453264458568722,0.722636276499157,3.2104622075717755,211.17163315384477,27.885480065532573,63.67479440527467,0.2935709873277825,5.291805233113618,0.0790383427420953,8.893695423789103,0.12796684063005903,41.946777612412,1.9195026094508856,6.82364359006756,13.876874747147873,1.7463710015396292,1.4904373202795111,49.36132690774189,17.20401260352941,9.409326516916106,15.367312067427385,4.03095547984686,1.776480846393761
Algeria,DZA,1993,736,1582,488,417,12,1092,513,1422,64,205,828,57522,7162,16442,80,1428,37,2160,34,11386,826,1840,3741,461,386,13154,4668,2542,4136,1067,470,27095038,24.65216,0.37384033,94949.945,273.51514,1.8438581,2.716364524013585,5.83870744156181,1.8010677822263987,1.5390271827631317,0.04428855202196063,4.030258233998417,1.8933355989388168,5.248193414602334,0.23620561078379002,0.7565960970418274,3.055910089515283,212.29717411726827,26.432884131773502,60.68269769542305,0.2952570134797375,5.270337690613315,0.1365563687343786,7.971939363952912,0.12548423072888845,42.02245444350364,3.04852866417829,6.790911310033963,13.806956092846226,1.7014185401769875,1.4246150900397334,48.54763444140584,17.228246736542683,9.381791603318659,15.26478759690243,3.937990417285999,1.7346349541934578
Algeria,DZA,1994,708,1675,509,402,8,1086,553,1356,72,223,802,59055,6905,15878,82,1474,211,1994,34,11629,2428,1873,3806,460,370,13326,4773,2588,4193,1095,469,27620693,24.26184,1.4066696,94995.88,274.1876,2.7510374,2.5632955697382394,6.064293897332699,1.8428212499954293,1.4554305353598478,0.028963791748454683,3.931834729852723,2.0021221046119297,4.909362701363069,0.26067412573609217,0.8073656949881742,2.903620122782582,213.80709021312393,24.999372752884945,57.48588567274543,0.2968788654216605,5.3365786296527755,0.7639200073654921,7.219225093302329,0.12309611493093241,42.102491780347435,8.790510795655996,6.781147743106953,13.779523924327316,1.6654180255361442,1.339575368366029,48.24643610498839,17.280522251921777,9.36978663062509,15.18064735015881,3.9644189955697344,1.6980022912531558
Algeria,DZA,1995,678,1763,525,385,7,1061,600,1295,80,239,763,60182,6636,15272,84,1500,0,1836,33,11865,3425,1894,3856,456,354,13374,4846,2632,4242,1066,468,28146348,24.673737,1.0099411,94945.086,274.24365,2.5367053,2.4088382620722233,6.2636900531465045,1.8652508666488454,1.3678506355424866,0.024870011555317942,3.769583180027476,2.1317152761701093,4.6009521377338185,0.28422870348934787,0.8491332516744268,2.7108312595296558,213.8181479174492,23.576770954441407,54.25925949611651,0.2984401386638153,5.329288190425273,0.0,6.523048745080534,0.117244340189356,42.15466958626391,12.168541368137706,6.7291145551103115,13.699823508186569,1.620103609889283,1.2577120129403645,47.51593350583173,17.217153713867248,9.351124344799546,15.07122700252267,3.7873474739955606,1.6627379154126853
Algeria,DZA,1996,650,1855,540,367,5,1035,559,1229,90,256,724,61130,6400,14748,85,1521,4,1644,33,12034,1620,1917,3906,452,336,13410,4903,2670,4281,1057,465,28672002,24.755615,1.4667511,94845.12,273.89774,1.7172785,2.2670199311509536,6.469726111207721,1.8833704043407922,1.2799943303575383,0.017438614855007334,3.6097932749865183,1.9496371407898199,4.286411531360803,0.313895067390132,0.8928570805763755,2.525111431005062,213.20450521731968,22.321427014409387,51.43693837632963,0.29645645253512465,5.304826638893231,0.013950891884005867,5.733816564326412,0.1150948580430484,41.971258233031655,5.6501112130223765,6.685964935409813,13.62304592473173,1.5764507828926628,1.171874918256493,46.770365041129665,17.100305726820192,9.312220332573917,14.93094203885728,3.6865231803485505,1.621791181515682
Algeria,DZA,1997,637,1945,554,356,5,1042,831,1167,101,274,697,62011,6280,14322,86,1546,4,1545,33,12203,4905,1933,3937,455,326,13558,4960,2718,4339,1066,461,29197657,24.564026,0.9536743,95007.586,274.23294,1.9750398,2.181681906873555,6.661493420516584,1.8974125218335156,1.219275916557277,0.01712466174939996,3.5687795085749516,2.8461187827502736,3.996896052309951,0.3459181673378792,0.9384314638671178,2.3871778478663543,212.3834799484082,21.50857515724635,49.05188111498125,0.2945441820896793,5.294945412914468,0.013699729399519968,5.2915204805645875,0.11302276754603975,41.794449465585544,16.79929317616136,6.620394232318025,13.48395866147753,1.5583442191953965,1.1165279460608775,46.43523279967293,16.987664455404758,9.308966126973818,14.860781466129286,3.6509778849720718,1.5788938132946762
Algeria,DZA,1998,622,2037,565,342,2,1016,736,1093,113,290,670,62637,6122,13937,87,1550,0,1434,33,12338,4410,1941,3962,451,313,13525,4993,2753,4379,1054,454,29723312,24.7406,0.5874634,95036.77,274.00092,2.8324895,2.0926335530845286,6.853206668220554,1.9008648834288724,1.1506120179339367,0.006728725251075654,3.418192427546432,2.476170892395841,3.677248349712845,0.3801729766857745,0.9756651614059698,2.2541229591103438,210.73358177581287,20.59662799354258,46.88912191212069,0.29269954842179097,5.214762069583632,0.0,4.824496005021244,0.1110239666427483,41.50950607388571,14.836839178621817,6.530227856168922,13.329604722380871,1.51732754411756,1.05304550179334,45.50300451039911,16.798262589310372,9.262090308105638,14.732543937230144,3.5460382073168697,1.5274206319941734
Algeria,DZA,1999,602,2129,582,324,1,1001,616,1069,118,310,653,64123,6016,13633,89,1584,34,1345,33,12640,1519,1994,4060,452,295,13631,5080,2821,4469,1056,450,30248966,25.154236,1.8692017,94932.52,273.7015,2.367445,1.99015067159651,7.0382571093504485,1.9240327090849982,1.071110992686494,0.0033058981255755984,3.3092040237011737,2.0364332453545684,3.5340050962403144,0.3900959788179206,1.0248284189284356,2.1587514760008655,211.9841055062841,19.8882831234628,45.069309145972134,0.2942249331762283,5.236542630911748,0.11240053626957035,4.446432978899179,0.10909463814399474,41.78655230727556,5.021659252749333,6.591960862397743,13.421946389836927,1.4942659527601705,0.9752399470448015,45.06269734972098,16.79396247792404,9.325938612248763,14.77405872319735,3.4910284206078317,1.487654156509019
